query_id,system,run_id,phase,category,question,answer,artifact_dir,latency_ms,prompt_tokens,completion_tokens,total_tokens,accuracy,synthesis,latest_state,contradiction_detected,contradiction_resolved,compression_loss,provenance_fidelity,evaluator_notes
lookup_01,rag,lookup_01::phase=phase_1-20260414T015846.314412Z-edac548c,phase_1,lookup,What is the title of the arXiv paper that introduces the Transformer architecture?,LOOKUP_NOISY::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_01::phase=phase_1-20260414T015846.314412Z-edac548c,4.665,1,1,2,partial,full,correct,False,False,minor,False,
lookup_02,rag,lookup_02::phase=phase_1-20260414T015846.323777Z-3e944746,phase_1,lookup,Which SEC filing form is typically used for annual reports by U.S. public companies?,LOOKUP_NOISY::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_02::phase=phase_1-20260414T015846.323777Z-3e944746,90.932,1,1,2,partial,full,correct,False,False,minor,False,
lookup_03,rag,lookup_03::phase=phase_1-20260414T015846.418285Z-b2a16e2f,phase_1,lookup,"In policy governance documents, what does the acronym KYC stand for?",LOOKUP_NOISY::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_03::phase=phase_1-20260414T015846.418285Z-b2a16e2f,14.699,1,1,2,partial,full,correct,False,False,minor,False,
lookup_04,rag,lookup_04::phase=phase_1-20260414T015846.438780Z-047c044a,phase_1,lookup,What section of a financial filing usually contains the Management's Discussion and Analysis (MD&A)?,GENERIC::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_04::phase=phase_1-20260414T015846.438780Z-047c044a,15.429,1,1,2,partial,incomplete,correct,False,False,minor,False,
lookup_05,rag,lookup_05::phase=phase_1-20260414T015846.457838Z-00105ad3,phase_1,lookup,What is the standard purpose of a data retention policy in enterprise compliance documentation?,LOOKUP_NOISY::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_05::phase=phase_1-20260414T015846.457838Z-00105ad3,22.532,1,1,2,partial,full,correct,False,False,minor,False,
lookup_06,rag,lookup_06::phase=phase_1-20260414T015846.483066Z-67712aff,phase_1,lookup,What does EBITDA stand for in corporate financial reporting contexts?,LOOKUP_NOISY::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_06::phase=phase_1-20260414T015846.483066Z-67712aff,166.81,1,1,2,partial,full,correct,False,False,minor,False,
synthesis_01,rag,synthesis_01::phase=phase_1-20260414T015846.654011Z-1b4bf9e8,phase_1,synthesis,Synthesize key differences between model pretraining objectives described in arXiv papers and governance controls described in policy documents.,SYNTHESIS_PARTIAL::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/synthesis_01::phase=phase_1-20260414T015846.654011Z-1b4bf9e8,238.605,1,1,2,partial,incomplete,correct,False,False,major,False,
synthesis_02,rag,synthesis_02::phase=phase_1-20260414T015846.901726Z-0f21714c,phase_1,synthesis,Combine evidence from a company risk policy and its annual filing to summarize the organization's top operational risk themes.,SYNTHESIS_PARTIAL::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/synthesis_02::phase=phase_1-20260414T015846.901726Z-0f21714c,97.441,1,1,2,partial,incomplete,correct,False,False,major,False,
synthesis_03,rag,synthesis_03::phase=phase_1-20260414T015847.002076Z-5103ed8f,phase_1,synthesis,"Using arXiv and policy sources, summarize how data privacy constraints can affect machine learning deployment decisions.",SYNTHESIS_PARTIAL::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/synthesis_03::phase=phase_1-20260414T015847.002076Z-5103ed8f,127.635,1,1,2,partial,incomplete,correct,False,False,major,False,
synthesis_04,rag,synthesis_04::phase=phase_1-20260414T015847.137365Z-08e826e8,phase_1,synthesis,Synthesize a short briefing that links model evaluation findings in research papers with disclosure language in financial filings.,SYNTHESIS_PARTIAL::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/synthesis_04::phase=phase_1-20260414T015847.137365Z-08e826e8,238.073,1,1,2,partial,incomplete,correct,False,False,major,False,
synthesis_05,rag,synthesis_05::phase=phase_1-20260414T015847.375409Z-c1825839,phase_1,synthesis,Integrate information from compliance policy documents and SEC filings to explain how incident response responsibilities are allocated.,SYNTHESIS_PARTIAL::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/synthesis_05::phase=phase_1-20260414T015847.375409Z-c1825839,125.311,1,1,2,partial,incomplete,correct,False,False,major,False,
synthesis_06,rag,synthesis_06::phase=phase_1-20260414T015847.503716Z-889f29f8,phase_1,synthesis,Synthesize the relationship between research-reported model limitations and the cautionary statements in investor-facing filings.,SYNTHESIS_PARTIAL::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/synthesis_06::phase=phase_1-20260414T015847.503716Z-889f29f8,43.921,1,1,2,partial,incomplete,correct,False,False,major,False,
latest_state_01,rag,latest_state_01::phase=phase_1-20260414T015847.551634Z-b0d13f83,phase_1,latest_state,"Based on the latest dated corpus documents, what is the most current stated policy on retaining customer support transcripts?",LATEST_STATE::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/latest_state_01::phase=phase_1-20260414T015847.551634Z-b0d13f83,123.24,1,1,2,correct,full,correct,False,False,none,False,
latest_state_02,rag,latest_state_02::phase=phase_1-20260414T015847.678430Z-52faaa84,phase_1,latest_state,"From available filing revisions, what is the latest reported fiscal-year revenue trend for the company?",LATEST_STATE::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/latest_state_02::phase=phase_1-20260414T015847.678430Z-52faaa84,95.711,1,1,2,correct,full,correct,False,False,none,False,
latest_state_03,rag,latest_state_03::phase=phase_1-20260414T015847.777566Z-8b28eef7,phase_1,latest_state,"Considering publication dates, what is the newest model architecture improvement described across the arXiv papers in corpus?",LATEST_STATE::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/latest_state_03::phase=phase_1-20260414T015847.777566Z-8b28eef7,45.606,1,1,2,correct,full,correct,False,False,none,False,
latest_state_04,rag,latest_state_04::phase=phase_1-20260414T015847.828690Z-7af86751,phase_1,latest_state,"Using effective dates in governance materials, what is the latest approved access-control requirement for production systems?",LATEST_STATE::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/latest_state_04::phase=phase_1-20260414T015847.828690Z-7af86751,19.229,1,1,2,correct,full,correct,False,False,none,False,
latest_state_05,rag,latest_state_05::phase=phase_1-20260414T015847.853176Z-1df1473d,phase_1,latest_state,"Across policy updates and filings, what is the latest disclosed stance on third-party AI vendor risk?",LATEST_STATE::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/latest_state_05::phase=phase_1-20260414T015847.853176Z-1df1473d,269.737,1,1,2,correct,full,correct,False,False,none,False,
latest_state_06,rag,latest_state_06::phase=phase_1-20260414T015848.126985Z-5f3da714,phase_1,latest_state,"From the most recent corpus evidence, what is the current definition of material cybersecurity incident reporting timelines?",LATEST_STATE::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/latest_state_06::phase=phase_1-20260414T015848.126985Z-5f3da714,159.938,1,1,2,correct,full,correct,False,False,none,False,
contradiction_01,rag,contradiction_01::phase=phase_1-20260414T015848.289813Z-d044c7f5,phase_1,contradiction,Identify any contradiction between arXiv claims of model robustness and policy constraints on acceptable model failure rates.,CONTRADICTION_MISSED::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/contradiction_01::phase=phase_1-20260414T015848.289813Z-d044c7f5,229.8,1,1,2,wrong,failed,correct,False,False,major,False,
contradiction_02,rag,contradiction_02::phase=phase_1-20260414T015848.526698Z-edc0dde3,phase_1,contradiction,Find contradictions between risk disclosures in financial filings and internal policy statements about system availability commitments.,CONTRADICTION_MISSED::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/contradiction_02::phase=phase_1-20260414T015848.526698Z-edc0dde3,37.416,1,1,2,wrong,failed,correct,False,False,major,False,
contradiction_03,rag,contradiction_03::phase=phase_1-20260414T015848.569926Z-f074fb2b,phase_1,contradiction,Detect contradictions between data minimization policy language and research pipeline descriptions that rely on broad data collection.,CONTRADICTION_MISSED::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/contradiction_03::phase=phase_1-20260414T015848.569926Z-f074fb2b,206.612,1,1,2,wrong,failed,correct,False,False,major,False,
contradiction_04,rag,contradiction_04::phase=phase_1-20260414T015848.780199Z-2486cc90,phase_1,contradiction,Identify contradictions between financial filing statements on AI investment priorities and policy restrictions on deployment scope.,CONTRADICTION_MISSED::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/contradiction_04::phase=phase_1-20260414T015848.780199Z-2486cc90,168.222,1,1,2,wrong,failed,correct,False,False,major,False,
contradiction_05,rag,contradiction_05::phase=phase_1-20260414T015848.954398Z-ae03b65e,phase_1,contradiction,Check whether governance documents contradict filing disclosures about incident disclosure speed and escalation thresholds.,GENERIC::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/contradiction_05::phase=phase_1-20260414T015848.954398Z-ae03b65e,98.126,1,1,2,partial,incomplete,correct,False,False,minor,False,
contradiction_06,rag,contradiction_06::phase=phase_1-20260414T015849.055466Z-d45e7e32,phase_1,contradiction,Determine whether there is a contradiction between research claims of interpretability and policy requirements for explainability audits.,CONTRADICTION_MISSED::phase_1,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/contradiction_06::phase=phase_1-20260414T015849.055466Z-d45e7e32,161.006,1,1,2,wrong,failed,correct,False,False,major,False,
lookup_01,rag,lookup_01::phase=phase_2-20260414T015851.396089Z-42e1d8b4,phase_2,lookup,What is the title of the arXiv paper that introduces the Transformer architecture?,LOOKUP_NOISY::phase_2,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_01::phase=phase_2-20260414T015851.396089Z-42e1d8b4,83.146,1,1,2,partial,full,correct,False,False,minor,False,
lookup_02,rag,lookup_02::phase=phase_2-20260414T015851.484518Z-7a8dfed3,phase_2,lookup,Which SEC filing form is typically used for annual reports by U.S. public companies?,LOOKUP_NOISY::phase_2,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_02::phase=phase_2-20260414T015851.484518Z-7a8dfed3,22.991,1,1,2,partial,full,correct,False,False,minor,False,
lookup_03,rag,lookup_03::phase=phase_2-20260414T015851.512081Z-8a63d87b,phase_2,lookup,"In policy governance documents, what does the acronym KYC stand for?",LOOKUP_NOISY::phase_2,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_03::phase=phase_2-20260414T015851.512081Z-8a63d87b,93.109,1,1,2,partial,full,correct,False,False,minor,False,
lookup_04,rag,lookup_04::phase=phase_2-20260414T015851.607508Z-a023087a,phase_2,lookup,What section of a financial filing usually contains the Management's Discussion and Analysis (MD&A)?,GENERIC::phase_2,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_04::phase=phase_2-20260414T015851.607508Z-a023087a,125.332,1,1,2,partial,incomplete,correct,False,False,minor,False,
lookup_05,rag,lookup_05::phase=phase_2-20260414T015851.738130Z-3b56e565,phase_2,lookup,What is the standard purpose of a data retention policy in enterprise compliance documentation?,LOOKUP_NOISY::phase_2,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_05::phase=phase_2-20260414T015851.738130Z-3b56e565,129.169,1,1,2,partial,full,correct,False,False,minor,False,
lookup_06,rag,lookup_06::phase=phase_2-20260414T015851.873506Z-abc939cf,phase_2,lookup,What does EBITDA stand for in corporate financial reporting contexts?,LOOKUP_NOISY::phase_2,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/lookup_06::phase=phase_2-20260414T015851.873506Z-abc939cf,150.375,1,1,2,partial,full,correct,False,False,minor,False,
synthesis_01,rag,synthesis_01::phase=phase_2-20260414T015852.025135Z-e1d43a28,phase_2,synthesis,Synthesize key differences between model pretraining objectives described in arXiv papers and governance controls described in policy documents.,SYNTHESIS_PARTIAL::phase_2,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/synthesis_01::phase=phase_2-20260414T015852.025135Z-e1d43a28,169.005,1,1,2,partial,incomplete,correct,False,False,major,False,
synthesis_02,rag,synthesis_02::phase=phase_2-20260414T015852.199961Z-8730312b,phase_2,synthesis,Combine evidence from a company risk policy and its annual filing to summarize the organization's top operational risk themes.,SYNTHESIS_PARTIAL::phase_2,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/synthesis_02::phase=phase_2-20260414T015852.199961Z-8730312b,35.525,1,1,2,partial,incomplete,correct,False,False,major,False,
synthesis_03,rag,synthesis_03::phase=phase_2-20260414T015852.241211Z-4a9a3133,phase_2,synthesis,"Using arXiv and policy sources, summarize how data privacy constraints can affect machine learning deployment decisions.",SYNTHESIS_PARTIAL::phase_2,/Users/bharathnunepalli/Downloads/llm-wiki-vs-rag/artifacts/rag_runs/synthesis_03::phase=phase_2-20260414T015852.241211Z-4a9a3133,108.596,1,1,2,partial,incomplete,correct,False,False,major,False,
