system,query_id,phase,category,question,answer,corpus_snapshot,execution_fingerprint,accuracy,synthesis,latest_state,contradiction_detected,contradiction_resolved,compression_loss,provenance_fidelity,evaluator_notes
rag,lookup_01,phase_1,lookup,What is the title of the arXiv paper that introduces the Transformer architecture?,MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
rag,lookup_02,phase_1,lookup,Which SEC filing form is typically used for annual reports by U.S. public companies?,MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
rag,lookup_03,phase_1,lookup,"In policy governance documents, what does the acronym KYC stand for?",MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
rag,lookup_04,phase_1,lookup,What section of a financial filing usually contains the Management's Discussion and Analysis (MD&A)?,MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
rag,lookup_05,phase_1,lookup,What is the standard purpose of a data retention policy in enterprise compliance documentation?,MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
rag,lookup_06,phase_1,lookup,What does EBITDA stand for in corporate financial reporting contexts?,MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
rag,synthesis_01,phase_1,synthesis,Synthesize key differences between model pretraining objectives described in arXiv papers and governance controls described in policy documents.,MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
rag,synthesis_02,phase_1,synthesis,Combine evidence from a company risk policy and its annual filing to summarize the organization's top operational risk themes.,MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
rag,synthesis_03,phase_1,synthesis,"Using arXiv and policy sources, summarize how data privacy constraints can affect machine learning deployment decisions.",MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
rag,synthesis_04,phase_1,synthesis,Synthesize a short briefing that links model evaluation findings in research papers with disclosure language in financial filings.,MOCK_RESPONSE,sha256:c7269e7838752fae8d84086a0247035530cb865ad03748eada116cf49b3144df,sha256:abd641d4f6cc4503d599e0b1e7d4b40237a55d5690829806608524a2311509c0,correct,full,correct,,,none,,
